State,County2,FIPS
Texas,Coleman County,48083
Oklahoma,Choctaw County,40023
Texas,Jim Hogg County,48247
Georgia,Hancock County,13141
Texas,Hamilton County,48193
Illinois,Richland County,17159
Kentucky,Owen County,21187
Virginia,Isle of Wight County,51093
Nebraska,Chase County,31029
North Dakota,McIntosh County,38051
Nebraska,Webster County,31181
Illinois,Hardin County,17069
Texas,Trinity County,48455
Wisconsin,Langlade County,55067
Kansas,Clark County,20025
North Carolina,Greene County,37079
Minnesota,Clearwater County,27029
North Dakota,Wells County,38103
Kentucky,Woodford County,21239
Montana,Golden Valley County,30037
Tennessee,Houston County,47083
Georgia,Monroe County,13207
West Virginia,Doddridge County,54017
Texas,Bandera County,48019
Missouri,Ste. Genevieve County,29186
Georgia,Worth County,13321
Texas,Swisher County,48437
Kentucky,Ballard County,21007
Iowa,Taylor County,19173
Georgia,Dooly County,13093
Iowa,Monona County,19133
Michigan,Leelanau County,26089
Virginia,Northampton County,51131
Georgia,Dade County,13083
New York,Seneca County,36099
Georgia,Peach County,13225
Missouri,McDonald County,29119
Oklahoma,Pawnee County,40117
Texas,Jack County,48237
South Dakota,Grant County,46051
Georgia,Meriwether County,13199
Kansas,Republic County,20157
Tennessee,Giles County,47055
Georgia,Emanuel County,13107
Indiana,Union County,18161
Montana,Carter County,30011
Texas,Washington County,48477
Kansas,Osborne County,20141
Virginia,York County,51199
Virginia,Floyd County,51063
North Carolina,Perquimans County,37143
Kentucky,Metcalfe County,21169
Washington,Columbia County,53013
Kansas,Morris County,20127
Pennsylvania,Forest County,42053
Nevada,Pershing County,32027
Illinois,Brown County,17009
Kansas,Clay County,20027
Minnesota,Lac qui Parle County,27073
Nevada,Esmeralda County,32009
South Dakota,Hughes County,46065
Texas,Dimmit County,48127
Iowa,Calhoun County,19025
Arkansas,Columbia County,5027
South Dakota,Miner County,46097
Texas,McCulloch County,48307
Colorado,Teller County,8119
Tennessee,Perry County,47135
Wyoming,Washakie County,56043
Colorado,Sedgwick County,8115
Oklahoma,Dewey County,40043
South Dakota,Deuel County,46039
Kansas,Stafford County,20185
Tennessee,Lauderdale County,47097
Georgia,Toombs County,13279
Georgia,Taylor County,13269
Iowa,Clarke County,19039
Kentucky,Livingston County,21139
Alaska,Bristol Bay Borough,2060
Louisiana,Morehouse Parish,22067
South Dakota,Custer County,46033
Wyoming,Weston County,56045
Arkansas,Cleveland County,5025
Illinois,Edwards County,17047
Georgia,Jefferson County,13163
Kansas,Riley County,20161
Alabama,Choctaw County,1023
Illinois,Gallatin County,17059
Missouri,Dallas County,29059
North Dakota,Burke County,38013
California,Alpine County,6003
Louisiana,West Feliciana Parish,22125
Texas,Scurry County,48415
Louisiana,East Carroll Parish,22035
Texas,San Saba County,48411
Georgia,Brooks County,13027
Utah,Grand County,49019
Iowa,Monroe County,19135
Kansas,Greenwood County,20073
North Dakota,Emmons County,38029
Kentucky,Larue County,21123
Arkansas,Bradley County,5011
Arkansas,Desha County,5041
Tennessee,Clay County,47027
Georgia,Evans County,13109
Colorado,Kiowa County,8061
Alaska,Aleutians West Census Area,2016
Kansas,Mitchell County,20123
South Dakota,Fall River County,46047
Iowa,Adair County,19001
Nebraska,Cuming County,31039
Kansas,Phillips County,20147
Kansas,Montgomery County,20125
Michigan,Iron County,26071
Virginia,Franklin County,51067
Georgia,Washington County,13303
Oklahoma,Murray County,40099
North Dakota,Bowman County,38011
Montana,McCone County,30055
Mississippi,Quitman County,28119
Maryland,Wicomico County,24045
Texas,Dawson County,48115
Virginia,Amherst County,51009
South Dakota,Haakon County,46055
South Carolina,McCormick County,45065
Kansas,Pratt County,20151
Iowa,Lucas County,19117
Mississippi,Noxubee County,28103
Kansas,Lane County,20101
Oklahoma,Cimarron County,40025
Kansas,Rooks County,20163
Virginia,Charlotte County,51037
Tennessee,Chester County,47023
Michigan,Ogemaw County,26129
Georgia,Burke County,13033
Minnesota,Jackson County,27063
Vermont,Essex County,50009
Virginia,Hopewell city,51670
North Dakota,Cavalier County,38019
Iowa,Union County,19175
Kentucky,Gallatin County,21077
Oregon,Wasco County,41065
Texas,Lynn County,48305
North Carolina,Franklin County,37069
Virginia,Orange County,51137
Alaska,Sitka City and Borough,2220
North Dakota,Pierce County,38069
Alaska,Ketchikan Gateway Borough,2130
Texas,Falls County,48145
Kansas,Ellsworth County,20053
Colorado,Rio Blanco County,8103
Tennessee,Jackson County,47087
Alabama,Crenshaw County,1041
Indiana,Tipton County,18159
Kentucky,Trimble County,21223
Colorado,Alamosa County,8003
Iowa,Jefferson County,19101
Texas,Limestone County,48293
Tennessee,Meigs County,47121
West Virginia,Tyler County,54095
Wisconsin,Pepin County,55091
Iowa,Wayne County,19185
Minnesota,Yellow Medicine County,27173
South Dakota,Hyde County,46069
Iowa,Franklin County,19069
Arkansas,Cross County,5037
Louisiana,Red River Parish,22081
Georgia,Polk County,13233
Georgia,Barrow County,13013
Texas,Presidio County,48377
Texas,Sabine County,48403
Kansas,Logan County,20109
Nebraska,Johnson County,31097
Arkansas,Pike County,5109
Indiana,Switzerland County,18155
Louisiana,Plaquemines Parish,22075
Arkansas,Arkansas County,5001
Georgia,Ware County,13299
Oklahoma,Hughes County,40063
Kansas,Norton County,20137
South Dakota,Potter County,46107
Texas,Grimes County,48185
Nebraska,Cherry County,31031
Arkansas,Chicot County,5017
Missouri,Shelby County,29205
South Dakota,Moody County,46101
Kentucky,Crittenden County,21055
Kentucky,Hancock County,21091
Michigan,Alger County,26003
Virginia,James City County,51095
South Dakota,Harding County,46063
Missouri,Carter County,29035
Texas,Young County,48503
Texas,Bailey County,48017
Alabama,Lamar County,1075
Texas,La Salle County,48283
Kansas,Wilson County,20205
Wisconsin,Price County,55099
Virginia,Fluvanna County,51065
Alabama,Fayette County,1057
Texas,Hudspeth County,48229
Tennessee,Bledsoe County,47007
Georgia,Randolph County,13243
Colorado,Park County,8093
Mississippi,Choctaw County,28019
Kentucky,Adair County,21001
Mississippi,Franklin County,28037
South Dakota,Butte County,46019
Indiana,Pulaski County,18131
Louisiana,Catahoula Parish,22025
Georgia,Bleckley County,13023
Georgia,Calhoun County,13037
Pennsylvania,Juniata County,42067
Georgia,Dodge County,13091
Minnesota,Pennington County,27113
Louisiana,West Carroll Parish,22123
Texas,Refugio County,48391
Texas,Hutchinson County,48233
New York,Schuyler County,36097
Illinois,Henderson County,17071
Minnesota,Lake County,27075
Georgia,Terrell County,13273
South Dakota,Douglas County,46043
Wisconsin,Menominee County,55078
Texas,Carson County,48065
West Virginia,Calhoun County,54013
North Carolina,Transylvania County,37175
Utah,Piute County,49031
North Dakota,Bottineau County,38009
Nevada,Mineral County,32021
Montana,Wheatland County,30107
Louisiana,Union Parish,22111
West Virginia,Summers County,54089
South Dakota,Tripp County,46123
West Virginia,Webster County,54101
Virginia,Mecklenburg County,51117
Minnesota,Rock County,27133
Kansas,Linn County,20107
Arkansas,Sevier County,5133
Minnesota,Faribault County,27043
South Dakota,Perkins County,46105
Georgia,McDuffie County,13189
Maryland,Worcester County,24047
Utah,Daggett County,49009
Kentucky,Bracken County,21023
Ohio,Harrison County,39067
Iowa,Greene County,19073
Nebraska,Dixon County,31051
Oklahoma,Kay County,40071
New York,Yates County,36123
Kansas,Cowley County,20035
Indiana,Warren County,18171
Texas,Blanco County,48031
Oklahoma,Okfuskee County,40107
Kentucky,Pendleton County,21191
Texas,Brewster County,48043
Mississippi,Jefferson Davis County,28065
Georgia,Pike County,13231
Ohio,Noble County,39121
Texas,Live Oak County,48297
Iowa,Humboldt County,19091
Iowa,Mahaska County,19123
Missouri,Sullivan County,29211
Kentucky,Elliott County,21063
Kansas,Gove County,20063
North Carolina,Washington County,37187
Iowa,Howard County,19089
Utah,Wayne County,49055
Kansas,Rush County,20165
Georgia,Jones County,13169
Kentucky,Washington County,21229
Kentucky,Caldwell County,21033
Nevada,Lander County,32015
Kentucky,Menifee County,21165
Arkansas,Fulton County,5049
Kansas,Stevens County,20189
Virginia,Charlottesville city,51540
Nebraska,Boone County,31011
Oklahoma,Comanche County,40031
Mississippi,Kemper County,28069
Ohio,Morgan County,39115
North Carolina,Northampton County,37131
New Mexico,Union County,35059
Texas,Lee County,48287
Oregon,Hood River County,41027
Texas,Hartley County,48205
Arkansas,Searcy County,5129
Nebraska,Pierce County,31139
North Dakota,Barnes County,38003
Minnesota,Red Lake County,27125
Minnesota,Chippewa County,27023
Arkansas,Madison County,5087
Virginia,Bristol city,51520
Indiana,Brown County,18013
Missouri,Douglas County,29067
Virginia,Powhatan County,51145
South Dakota,Day County,46037
Michigan,Gogebic County,26053
Tennessee,Haywood County,47075
Texas,Brooks County,48047
North Carolina,Anson County,37007
Texas,Fayette County,48149
Mississippi,Sharkey County,28125
Colorado,Phillips County,8095
Iowa,O'Brien County,19141
Montana,Fallon County,30025
Indiana,Carroll County,18015
Louisiana,St. James Parish,22093
Missouri,Maries County,29125
Virginia,Dickenson County,51051
Kansas,Morton County,20129
Colorado,Bent County,8011
Alabama,Bullock County,1011
Georgia,Dawson County,13085
Texas,Archer County,48009
Virginia,Southampton County,51175
Idaho,Shoshone County,16079
Illinois,Calhoun County,17013
Louisiana,Jackson Parish,22049
Arkansas,Marion County,5089
Kansas,Haskell County,20081
Missouri,Morgan County,29141
Indiana,Owen County,18119
Kentucky,Edmonson County,21061
Nebraska,Butler County,31023
Georgia,Union County,13291
Texas,Burleson County,48051
South Carolina,Union County,45087
Montana,Liberty County,30051
South Dakota,Mellette County,46095
Idaho,Boise County,16015
Alaska,Hoonah-Angoon Census Area,2105
Texas,Concho County,48095
Mississippi,Webster County,28155
Oklahoma,Nowata County,40105
Kansas,Saline County,20169
Iowa,Ida County,19093
North Dakota,Sargent County,38081
Tennessee,Crockett County,47033
Illinois,Putnam County,17155
North Dakota,Pembina County,38067
Virginia,Prince Edward County,51147
Kentucky,Green County,21087
North Dakota,Dickey County,38021
Virginia,Patrick County,51141
South Carolina,Colleton County,45029
Mississippi,Humphreys County,28053
West Virginia,Barbour County,54001
Kansas,Allen County,20001
South Carolina,Allendale County,45005
Iowa,Keokuk County,19107
Illinois,Hamilton County,17065
Mississippi,Calhoun County,28013
Virginia,Giles County,51071
Idaho,Custer County,16037
Mississippi,Walthall County,28147
Wyoming,Sublette County,56035
Arkansas,Ouachita County,5103
West Virginia,Pocahontas County,54075
Georgia,White County,13311
Kentucky,Lee County,21129
Virginia,Greene County,51079
Kentucky,Bourbon County,21017
Kentucky,Lyon County,21143
Maine,Piscataquis County,23021
Indiana,Pike County,18125
North Carolina,Hertford County,37091
Missouri,Madison County,29123
Arkansas,Franklin County,5047
Colorado,Gunnison County,8051
Montana,Sweet Grass County,30097
Colorado,Lake County,8065
Arkansas,Sharp County,5135
South Dakota,Sanborn County,46111
South Dakota,Walworth County,46129
Wisconsin,Bayfield County,55007
Georgia,Crisp County,13081
Texas,Jones County,48253
Arkansas,Howard County,5061
Oklahoma,Washington County,40147
Oklahoma,Latimer County,40077
West Virginia,Grant County,54023
West Virginia,Roane County,54087
Mississippi,Claiborne County,28021
Pennsylvania,Pike County,42103
Nebraska,Furnas County,31065
Wyoming,Carbon County,56007
Texas,Oldham County,48359
Kentucky,Mercer County,21167
Louisiana,Madison Parish,22065
Kentucky,Henry County,21103
Georgia,Baldwin County,13009
New Mexico,Hidalgo County,35023
Texas,Lamar County,48277
Alabama,Washington County,1129
Iowa,Clay County,19041
West Virginia,Hardy County,54031
Tennessee,Hardin County,47071
Kentucky,Allen County,21003
Ohio,Vinton County,39163
Georgia,Bryan County,13029
Kentucky,Garrard County,21079
North Carolina,Warren County,37185
Georgia,Chattooga County,13055
Georgia,Effingham County,13103
Iowa,Decatur County,19053
Louisiana,Winn Parish,22127
Kansas,Marion County,20115
Louisiana,St. Bernard Parish,22087
Arkansas,Ashley County,5003
Georgia,Fannin County,13111
Idaho,Benewah County,16009
Kentucky,Henderson County,21101
Arkansas,Randolph County,5121
Georgia,Gilmer County,13123
Oklahoma,McIntosh County,40091
Virginia,Brunswick County,51025
Oregon,Grant County,41023
Michigan,Missaukee County,26113
South Dakota,Ziebach County,46137
Georgia,Sumter County,13261
Texas,Castro County,48069
Iowa,Tama County,19171
Texas,Ochiltree County,48357
North Carolina,Swain County,37173
Iowa,Floyd County,19067
Texas,Mills County,48333
Michigan,Crawford County,26039
Texas,Robertson County,48395
Missouri,Warren County,29219
Arkansas,Grant County,5053
Montana,Granite County,30039
West Virginia,Ritchie County,54085
Texas,Floyd County,48153
Kentucky,Union County,21225
Kentucky,Spencer County,21215
North Carolina,Mitchell County,37121
Indiana,Perry County,18123
Oregon,Lake County,41037
Missouri,Clark County,29045
Iowa,Mills County,19129
Idaho,Power County,16077
Minnesota,Wilkin County,27167
Texas,Ward County,48475
Arkansas,Stone County,5137
Oregon,Tillamook County,41057
Alabama,Henry County,1067
Tennessee,Unicoi County,47171
Oklahoma,Kingfisher County,40073
Mississippi,Lawrence County,28077
Montana,Mineral County,30061
Wisconsin,Marquette County,55077
Minnesota,Kittson County,27069
Indiana,Newton County,18111
Texas,Andrews County,48003
Idaho,Blaine County,16013
Georgia,Coffee County,13069
Kansas,Anderson County,20003
Louisiana,Caldwell Parish,22021
Tennessee,Warren County,47177
Arkansas,Van Buren County,5141
West Virginia,Pleasants County,54073
